State,sat_2017,sat_2018,sat_difference,sat_percent_change,act_2017,act_2018,act_difference,act_percent_change,total_2017,total_2018,sat_share_2017,sat_share_2018
Hawaii,0.55,0.56,0.010000000000000009,1.8181818181818195,0.9,0.89,-0.010000000000000009,-1.111111111111112,1.4500000000000002,1.4500000000000002,0.3793103448275862,0.38620689655172413
Idaho,0.93,1.0,0.06999999999999995,7.526881720430103,0.38,0.36,-0.020000000000000018,-5.263157894736847,1.31,1.3599999999999999,0.7099236641221374,0.7352941176470589
Illinois,0.09,0.99,0.9,1000.0,0.93,0.43,-0.5,-53.76344086021505,1.02,1.42,0.08823529411764705,0.6971830985915494
Indiana,0.63,0.63,0.0,0.0,0.35000000000000003,0.32,-0.030000000000000027,-8.571428571428578,0.98,0.95,0.6428571428571429,0.6631578947368422
Iowa,0.02,0.03,0.009999999999999998,49.999999999999986,0.67,0.68,0.010000000000000009,1.492537313432837,0.6900000000000001,0.7100000000000001,0.02898550724637681,0.042253521126760556
Kansas,0.04,0.04,0.0,0.0,0.73,0.71,-0.020000000000000018,-2.739726027397263,0.77,0.75,0.051948051948051945,0.05333333333333334
Kentucky,0.04,0.04,0.0,0.0,1.0,1.0,0.0,0.0,1.04,1.04,0.038461538461538464,0.038461538461538464
Louisiana,0.04,0.04,0.0,0.0,1.0,1.0,0.0,0.0,1.04,1.04,0.038461538461538464,0.038461538461538464
Maine,0.9500000000000001,0.99,0.039999999999999925,4.2105263157894655,0.08,0.07,-0.009999999999999995,-12.499999999999993,1.03,1.06,0.9223300970873787,0.9339622641509433
Maryland,0.6900000000000001,0.76,0.06999999999999995,10.144927536231876,0.28,0.31,0.02999999999999997,10.714285714285703,0.9700000000000001,1.07,0.711340206185567,0.7102803738317757
Massachusetts,0.76,0.8,0.040000000000000036,5.263157894736847,0.29,0.25,-0.03999999999999998,-13.793103448275856,1.05,1.05,0.7238095238095238,0.7619047619047619
Michigan,1.0,1.0,0.0,0.0,0.29,0.22,-0.06999999999999998,-24.137931034482754,1.29,1.22,0.7751937984496123,0.819672131147541
Minnesota,0.03,0.04,0.010000000000000002,33.33333333333334,1.0,0.99,-0.010000000000000009,-1.0000000000000009,1.03,1.03,0.029126213592233007,0.038834951456310676
Mississippi,0.02,0.03,0.009999999999999998,49.999999999999986,1.0,1.0,0.0,0.0,1.02,1.03,0.0196078431372549,0.029126213592233007
Missouri,0.03,0.04,0.010000000000000002,33.33333333333334,1.0,1.0,0.0,0.0,1.03,1.04,0.029126213592233007,0.038461538461538464
Montana,0.1,0.1,0.0,0.0,1.0,1.0,0.0,0.0,1.1,1.1,0.09090909090909091,0.09090909090909091
Nebraska,0.03,0.03,0.0,0.0,0.84,1.0,0.16000000000000003,19.04761904761905,0.87,1.03,0.034482758620689655,0.029126213592233007
Nevada,0.26,0.23,-0.03,-11.538461538461538,1.0,1.0,0.0,0.0,1.26,1.23,0.20634920634920637,0.1869918699186992
New Hampshire,0.96,0.96,0.0,0.0,0.18,0.16,-0.01999999999999999,-11.111111111111107,1.14,1.1199999999999999,0.8421052631578948,0.8571428571428572
New Jersey,0.7000000000000001,0.8200000000000001,0.12,17.14285714285714,0.34,0.31,-0.030000000000000027,-8.823529411764714,1.04,1.1300000000000001,0.6730769230769231,0.7256637168141593
New Mexico,0.11,0.16,0.05,45.45454545454546,0.66,0.67,0.010000000000000009,1.5151515151515165,0.77,0.8300000000000001,0.14285714285714285,0.19277108433734938
New York,0.67,0.79,0.12,17.91044776119403,0.31,0.27,-0.03999999999999998,-12.903225806451607,0.98,1.06,0.6836734693877552,0.7452830188679245
North Carolina,0.49,0.52,0.030000000000000027,6.122448979591842,1.0,1.0,0.0,0.0,1.49,1.52,0.32885906040268453,0.34210526315789475
North Dakota,0.02,0.02,0.0,0.0,0.98,0.98,0.0,0.0,1.0,1.0,0.02,0.02
Ohio,0.12,0.18,0.06,50.0,0.75,1.0,0.25,33.33333333333333,0.87,1.18,0.13793103448275862,0.15254237288135594
Oklahoma,0.07,0.08,0.009999999999999995,14.285714285714276,1.0,1.0,0.0,0.0,1.07,1.08,0.06542056074766356,0.07407407407407407
Oregon,0.43,0.48,0.04999999999999999,11.627906976744184,0.4,0.42,0.019999999999999962,4.99999999999999,0.8300000000000001,0.8999999999999999,0.5180722891566265,0.5333333333333333
Pennsylvania,0.65,0.7000000000000001,0.050000000000000044,7.692307692307699,0.23,0.2,-0.03,-13.043478260869565,0.88,0.9000000000000001,0.7386363636363636,0.7777777777777778
